M,C
1,0.1
2,0.12
3,0.18
4,0.25
5,0.2
6,0.11
7,0.25
8,0.14
9,0.17
10,0.13
11,0.14
12,0.26
13,0.19
14,0.29
15,0.17
16,0.11
17,0.2
18,0.12
19,0.2
20,0.31
